Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,1.590138004527852,9.041921720351219,1,3,3,0,4,0,5,2,2,0,5,7,5,5,5,1,1,12,13,1,14.0,2,4,2,2,4,3,2,26.570660511172846,6,0.0,12.24744871391589,29.257477676655586,1,0,1,4,6.752270376141742,29.223278392404914,0,7.444248649496705,1,0,2,1,3,1,2,8,6,0,3,1,5.0,2,2,548,5,5,2,0.0,7.810249675906654,0.0,0,0.0,0,0,2,2008,8,4,12.247694320220994
2,20,3,1.6272506099369242,9.169518377455928,1,3,3,0,2,0,24,1,2,0,2,6,8,31,31,1,1,8,8,2,0.0,3,4,1,2,4,1,0,31.272991542223778,6,0.0,16.852299546352718,35.52463933666322,1,0,1,4,7.140453043101158,0.0,0,7.140453043101158,0,1,2,0,3,1,3,6,6,1,5,1,31.0,2,2,460,5,5,2,17.26267650163207,0.0,0.0,0,0.0,0,0,5,2007,8,4,12.109010932687042
3,60,3,1.5981299899944055,9.328123407632566,1,0,3,0,4,0,5,2,2,0,5,7,5,7,6,1,1,12,13,1,12.727922061357855,2,4,2,2,4,2,2,22.045407685048602,6,0.0,20.83266665599966,30.331501776206203,1,0,1,4,6.824373670043086,29.427877939124322,0,7.487733761436444,1,0,2,1,3,1,2,6,6,1,5,1,7.0,2,2,608,5,5,2,0.0,6.48074069840786,0.0,0,0.0,0,0,9,2008,8,4,12.31716669303576
4,70,3,1.5760586001492374,9.164296433474776,1,0,3,0,0,0,6,2,2,0,5,7,5,91,36,1,1,13,15,2,0.0,3,4,0,4,1,3,0,14.696938456699069,6,0.0,23.2379000772445,27.49545416973504,1,2,1,4,6.8679744089702925,27.49545416973504,0,7.448333860897476,1,0,1,0,3,1,2,7,6,1,2,5,8.0,3,3,642,5,5,2,0.0,5.916079783099616,16.492422502470642,0,0.0,0,0,2,2006,8,0,11.84939770159144
5,60,3,1.6360961005932173,9.565213693968287,1,0,3,0,2,0,15,2,2,0,5,8,5,8,8,1,1,12,13,1,18.708286933869708,2,4,2,2,4,0,2,25.592967784139454,6,0.0,22.135943621178654,33.83784863137726,1,0,1,4,7.0431599159883405,32.449961479175904,0,7.6953031349635665,1,0,2,1,4,1,2,9,6,1,5,1,8.0,2,3,836,5,5,2,13.856406460551018,9.16515138991168,0.0,0,0.0,0,0,12,2008,8,4,12.429216196844383
6,50,3,1.6382488834516562,9.55499334068759,1,0,3,0,4,0,11,2,2,0,0,5,5,16,14,1,1,12,13,2,0.0,3,4,5,2,4,3,2,27.055498516937366,6,0.0,8.0,28.21347195933177,1,0,1,4,6.679599185844383,23.790754506740637,0,7.216709486709457,1,0,1,1,1,1,3,5,6,0,3,1,16.0,3,2,480,5,5,2,6.324555320336759,5.477225575051661,0.0,320,0.0,0,700,10,2009,8,4,11.870599909242044
7,20,3,1.6156234211948597,9.218705288307811,1,3,3,0,4,0,21,2,2,0,2,8,5,3,2,1,1,12,13,3,13.638181696985855,2,4,2,0,4,0,2,37.0,6,0.0,17.804493814764857,41.060930335295616,1,0,1,4,7.434847875211999,0.0,0,7.434847875211999,1,0,2,0,3,1,2,7,6,1,2,1,3.0,2,2,636,5,5,2,15.968719422671311,7.54983443527075,0.0,0,0.0,0,0,8,2007,8,4,12.634603026569334
8,60,3,1.6007244024062175,9.247828816387175,1,0,3,0,0,0,14,4,2,0,5,7,6,36,36,1,1,6,6,3,15.491933384829668,3,4,1,2,4,2,0,29.30870177950569,1,5.656854249492381,14.696938456699069,33.27160951922825,1,0,1,4,7.009408932708637,31.352830813181765,0,7.644919344958857,1,0,2,1,3,1,3,7,6,2,5,1,36.0,2,2,484,5,5,2,15.329709716755891,14.2828568570857,15.0996688705415,0,0.0,0,350,11,2009,8,4,12.206072645530174
9,50,4,1.547854091746034,8.719317375506371,1,3,3,0,4,0,17,0,2,0,0,7,5,77,58,1,1,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,30.854497241083024,30.854497241083024,1,2,1,1,6.92951677076365,27.422618401604176,0,7.480992162869525,0,0,2,0,2,2,3,8,2,2,5,5,77.0,3,2,468,1,5,2,9.486832980505138,0.0,14.317821063276353,0,0.0,0,0,4,2008,8,0,11.77452020265869
10,190,3,1.544452104946379,8.911934336161426,1,3,3,0,0,0,3,0,0,1,1,5,6,69,58,1,1,8,8,2,0.0,3,4,0,4,4,3,2,29.171904291629644,6,0.0,11.832159566199232,31.480152477394387,1,0,1,4,6.981934677156389,0.0,0,6.981934677156389,1,0,1,0,2,2,3,5,6,2,5,1,69.0,2,1,205,2,5,2,0.0,2.0,0.0,0,0.0,0,0,1,2008,8,4,11.678439903447801
